web-scraper-order,web-scraper-start-url,Game_title,Rating,Downloads
"1613978406-2296","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=79","Mega Man 4","3.7/5","72,326"
"1613978269-1280","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=130","Tecmo Super Bowl 98 (Hack)","0/5","1,393"
"1613978398-2251","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=82","Mini Putt [T-Eng1.0]","1.8/5","1,141"
"1613978374-2060","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=91","Othello (HES)","0/5","828"
"1613978493-2950","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=47","Gekitotsu Yonku Battle [t1]","4.7/5","2,056"
"1613978267-1262","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=131","Tenchi Wo Kurau 2 - Shokatsu Koumei Den [T-Eng1.11]","5/5","976"
"1613978485-2889","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=50","Great Adventures Of Weiny, The (Mario Bros Hack)","4.9/5","818"
"1613978471-2785","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=55","Hudson's Adventure Island 2","3.8/5","14,878"
"1613978326-1698","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=109","Silk Worm","4/5","2,403"
"1613978323-1672","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=110","Skull & Crossbones","4.6/5","1,666"
"1613978493-2932","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=47","Ganso Saiyuuki - Super Monkey Dai Bouken","4.6/5","811"
"1613978248-1127","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=138","Um Chi (Glommy Chess) (Joy Van)","5/5","618"
"1613978264-1246","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=132","Tetris 2","3.7/5","10,176"
"1613978612-3798","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=4","Abadox [T-Portx.x]","4/5","1,126"
