web-scraper-order,web-scraper-start-url,game,game-href,image-src,name,file_size,region,genre,download_count,rating,rate_count,download_url,download_url-href,real_url
"1613996729-5572","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=79","Mega Man 4","https://romsmania.cc/roms/nintendo/mega-man-4-241562","https://romsmania.cc/statics/assets/covers/nintendo/22130front-4110.jpg","Mega Man 4","281.2KB","USA","null","72,326","3.7","244","Download","https://romsmania.cc/download/roms/nintendo/mega-man-4-241562","https://s2roms.cc/s3roms/Nintendo/USA/L-O/Mega%20Man%204%20%28U%29.zip"
"1613991051-4828","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=116","Subcon 2000 (Final) (SMB2 Hack)","https://romsmania.cc/roms/nintendo/subcon-2000-final-smb2-hack-242309","https://romsmania.cc/statics/assets/covers/nintendo/large-6795.jpg","Subcon 2000 (Final) (SMB2 Hack)","69.9KB","USA","null","979","5","1","Download","https://romsmania.cc/download/roms/nintendo/subcon-2000-final-smb2-hack-242309","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Subcon%202000%20%28Final%29%20%28SMB2%20Hack%29.zip"
"1613989891-4640","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=125","Super Pikachu World V0.6 (PR Translations) (SMB2 Hack)","https://romsmania.cc/roms/nintendo/super-pikachu-world-v0-6-pr-translations-smb2-hack-242498","https://romsmania.cc/statics/assets/covers/nintendo/supermarioworldbox-6930.jpg","Super Pikachu World V0.6 (PR Translations) (SMB2 Hack)","71.8KB","USA","null","725","2","4","Download","https://romsmania.cc/download/roms/nintendo/super-pikachu-world-v0-6-pr-translations-smb2-hack-242498","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Super%20Pikachu%20World%20V0.6%20%28PR%20Translations%29%20%28SMB2%20Hack%29.zip"
"1614002129-6362","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=39","F-15 Strike Eagle","https://romsmania.cc/roms/nintendo/f-15-strike-eagle-240770","https://romsmania.cc/statics/assets/covers/nintendo/f-15-strike-eagle-nintendo.jpg","F-15 Strike Eagle","234.7KB","USA","Simulation","2,402","4.6","7","Download","https://romsmania.cc/download/roms/nintendo/f-15-strike-eagle-240770","https://s2roms.cc/s3roms/Nintendo/USA/D-F/F-15%20Strike%20Eagle%20%28U%29.zip"
"1613989457-4563","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=129","Target Renegade","https://romsmania.cc/roms/nintendo/target-renegade-242575","https://romsmania.cc/statics/assets/covers/nintendo/49785front-4416.jpg","Target Renegade","85.3KB","USA","null","2,780","4.8","4","Download","https://romsmania.cc/download/roms/nintendo/target-renegade-242575","https://s2roms.cc/s3roms/Nintendo/USA/P-T/Target%20Renegade%20%28U%29.zip"
"1613993734-5105","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=102","River City Ransom","https://romsmania.cc/roms/nintendo/river-city-ransom-242033","https://romsmania.cc/statics/assets/covers/nintendo/rivercityransom-front-4270.jpg","River City Ransom","117.8KB","USA","null","30,471","4.3","78","Download","https://romsmania.cc/download/roms/nintendo/river-city-ransom-242033","https://s2roms.cc/s3roms/Nintendo/USA/P-T/River%20City%20Ransom%20%28U%29.zip"
"1614000799-6177","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=48","Goal 2 (PAL) (PD)","https://romsmania.cc/roms/nintendo/goal-2-pal-pd-240956","https://romsmania.cc/statics/assets/covers/nintendo/goal-2-nintendo.jpg","Goal 2 (PAL) (PD)","5.8KB","USA","Sports","3,082","4.2","13","Download","https://romsmania.cc/download/roms/nintendo/goal-2-pal-pd-240956","https://s2roms.cc/s3roms/Nintendo/PD/Goal%202%20%28PAL%29%20%28PD%29.zip"
"1613990907-4804","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=117","Super Arabian","https://romsmania.cc/roms/nintendo/super-arabian-242333","https://romsmania.cc/statics/assets/covers/nintendo/310928front-6807.jpg","Super Arabian","14.8KB","Japan","null","639","3.8","2","Download","https://romsmania.cc/download/roms/nintendo/super-arabian-242333","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Super%20Arabian%20%28J%29%20%5Bh2%5D.zip"
"1613987439-4190","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=148","ZZZ_UNK_Bandai Golf - Challenge Pebble Beach (Bad CHR)","https://romsmania.cc/roms/nintendo/zzz-unk-bandai-golf-challenge-pebble-beach-bad-chr-242948","https://romsmania.cc/statics/assets/covers/nintendo/49198front-5201.jpg","ZZZ_UNK_Bandai Golf - Challenge Pebble Beach (Bad CHR)","34.7KB","USA","null","859","0","0","Download","https://romsmania.cc/download/roms/nintendo/zzz-unk-bandai-golf-challenge-pebble-beach-bad-chr-242948","https://s2roms.cc/s3roms/Nintendo/Unclass/ZZZ_UNK_Bandai%20Golf%20-%20Challenge%20Pebble%20Beach%20%28Bad%20CHR%29.zip"
"1613997511-5687","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=73","Mario And Luigi (Nuts & Milk Hack)","https://romsmania.cc/roms/nintendo/mario-and-luigi-nuts-milk-hack-241447","https://romsmania.cc/statics/assets/nocover.png","Mario And Luigi (Nuts & Milk Hack)","13.6KB","USA","null","2,017","3.9","17","Download","https://romsmania.cc/download/roms/nintendo/mario-and-luigi-nuts-milk-hack-241447","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Mario%20and%20Luigi%20%28Nuts%20%26%20Milk%20Hack%29.zip"
